Source.Name,Game Completed Date,Team,Outcome,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Rank Change,Region/Game Code,,,,
User11,12/13/2020 at 9:15:58 pm EST,Imposter,Loss,0,03m 37s,Yes,N/A,N/A,NA / GFAXDF,,,,
User11,12/09/2020 at 9:32:37 pm EST,Imposter,Loss,3,11m 40s,Yes,N/A,-,NA / LDTHVF,,,,
User11,12/09/2020 at 9:19:49 pm EST,Imposter,Win,4,09m 47s,No,N/A,+++,NA / LDTHVF,,,,
User11,12/08/2020 at 11:20:29 pm EST,Imposter,Win,2,08m 46s,No,N/A,+++,NA / DTPRHF,,,,
User11,12/08/2020 at 10:49:55 pm EST,Imposter,Win,2,08m 00s,No,N/A,+++,NA / DTPRHF,,,,
User11,12/07/2020 at 10:18:28 pm EST,Imposter,Win,2,07m 48s,No,N/A,+++,NA / XVMZZF,,,,
User11,12/07/2020 at 9:56:50 pm EST,Imposter,Win,3,11m 49s,No,N/A,+++,NA / IKBYZF,,,,
User12,12/17/2020 at 2:23:17 am EST,Imposter,Win,2,09m 23s,No,N/A,+++,NA / NVAFCF,,,,
User12,12/17/2020 at 1:29:28 am EST,Imposter,Loss,1,14m 25s,No,N/A,--,NA / NVAFCF,,,,
User12,12/17/2020 at 12:00:34 am EST,Imposter,Win,1,08m 24s,No,N/A,+++,NA / NVAFCF,,,,
User12,12/16/2020 at 10:55:28 pm EST,Imposter,Loss,2,12m 33s,Yes,N/A,-,NA / VQXHFF,,,,
User12,12/16/2020 at 9:10:07 pm EST,Imposter,Loss,4,14m 41s,No,N/A,-,NA / RDVGNF,,,,
User12,12/16/2020 at 8:54:36 pm EST,Imposter,Loss,1,13m 44s,No,N/A,--,NA / RDVGNF,,,,
User12,12/16/2020 at 8:28:50 pm EST,Imposter,Win,4,10m 15s,No,N/A,+++,NA / UZSYCF,,,,
User12,12/16/2020 at 5:10:59 pm EST,Imposter,Loss,1,16m 16s,No,N/A,--,Europe / UPWUGF,,,,
User12,12/16/2020 at 1:34:52 am EST,Imposter,Loss,4,16m 07s,No,N/A,-,NA / FFNSNF,,,,
User12,12/16/2020 at 1:17:54 am EST,Imposter,Loss,3,16m 57s,No,N/A,-,NA / FFNSNF,,,,
User12,12/15/2020 at 2:40:34 am EST,Imposter,Win,1,10m 41s,Yes,N/A,+++,NA / JBLSZF,,,,
User12,12/08/2020 at 2:29:50 am EST,Imposter,Win,2,04m 33s,No,N/A,N/A,NA / HNXTJF,,,,
User12,12/08/2020 at 1:34:32 am EST,Imposter,Win,1,02m 37s,No,N/A,N/A,NA / FATWCF,,,,
User12,12/07/2020 at 10:18:21 pm EST,Imposter,Win,2,08m 25s,No,N/A,+++,NA / IKPWHF,,,,
User12,12/07/2020 at 2:07:09 am EST,Imposter,Loss,2,16m 02s,No,N/A,-,NA / HUTXKF,,,,
User12,12/06/2020 at 5:21:11 pm EST,Imposter,Loss,2,02m 31s,Yes,N/A,N/A,NA / COXPUF,,,,
User12,12/06/2020 at 5:14:16 pm EST,Imposter,Win,3,03m 47s,No,N/A,N/A,NA / COXPUF,,,,
User12,12/06/2020 at 4:12:28 pm EST,Imposter,Win,3,09m 12s,No,N/A,+++,Europe / DSYWJF,,,,
User12,12/06/2020 at 3:32:07 am EST,Imposter,Loss,2,20m 12s,No,N/A,-,Europe / RUFQCF,,,,
User12,11/29/2020 at 8:50:39 pm EST,Imposter,Loss,2,17m 29s,No,N/A,-,NA / MSVQUF,,,,
User12,11/29/2020 at 7:51:54 pm EST,Imposter,Win,2,10m 29s,No,N/A,+++,NA / MSVQUF,,,,
User13,12/17/2020 at 6:40:21 pm EST,Imposter,Win,3,11m 37s,No,N/A,+++,NA / SXJLBF,,,,
User13,12/17/2020 at 6:26:53 pm EST,Imposter,Win,3,09m 48s,No,N/A,+++,NA / SXJLBF,,,,
User13,12/17/2020 at 6:14:28 pm EST,Imposter,Win,2,08m 31s,No,N/A,+++,NA / SXJLBF,,,,
User13,12/17/2020 at 6:04:53 pm EST,Imposter,Loss,2,16m 03s,No,N/A,-,NA / SXJLBF,,,,
User13,12/16/2020 at 4:44:14 pm EST,Imposter,Loss,2,05m 26s,No,N/A,-,NA / FFLMTQ,,,,
User13,12/16/2020 at 4:30:28 pm EST,Imposter,Win,1,01m 53s,No,N/A,N/A,NA / TGOHXQ,,,,
User13,12/16/2020 at 3:33:02 pm EST,Imposter,Win,2,02m 29s,No,N/A,N/A,NA / UDMKOF,,,,
User13,12/16/2020 at 3:23:32 pm EST,Imposter,Win,5,05m 43s,No,N/A,+++,NA / LBBXRQ,,,,
User13,12/15/2020 at 6:15:20 pm EST,Imposter,Win,3,15m 24s,No,N/A,+++,NA / AWYBXQ,,,,
User13,12/15/2020 at 5:24:47 pm EST,Imposter,Win,4,19m 44s,No,N/A,+++,NA / IUFFVF,,,,
User13,12/15/2020 at 9:30:04 am EST,Imposter,Loss,2,09m 59s,No,N/A,-,Europe / RIZQCF,,,,
User13,12/14/2020 at 4:10:00 pm EST,Imposter,Loss,3,19m 48s,No,N/A,-,Europe / KUJLBF,,,,
User13,12/08/2020 at 8:34:53 pm EST,Imposter,Win,4,09m 22s,No,N/A,+++,Europe / OUBRXQ,,,,
User13,12/08/2020 at 3:10:39 pm EST,Imposter,Win,1,02m 05s,No,N/A,N/A,Europe / KQABIF,,,,
User13,12/07/2020 at 10:32:50 pm EST,Imposter,Win,3,13m 13s,No,N/A,+++,NA / IKPWHF,,,,
User13,12/07/2020 at 12:37:58 am EST,Imposter,Loss,2,26m 40s,No,N/A,-,NA / HUTXKF,,,,
User13,12/06/2020 at 11:15:20 pm EST,Imposter,Win,3,13m 23s,No,N/A,+++,NA / HUTXKF,,,,
User13,12/06/2020 at 6:00:14 pm EST,Imposter,Win,4,16m 02s,No,N/A,+++,Europe / DSYWJF,,,,
User13,12/04/2020 at 8:38:49 pm EST,Imposter,Loss,3,14m 02s,No,N/A,-,NA / NRQIBF,,,,
User13,12/04/2020 at 5:35:28 pm EST,Imposter,Win,4,09m 19s,No,N/A,+++,NA / NLKPHF,,,,
User13,12/04/2020 at 4:10:53 pm EST,Imposter,Win,1,00m 46s,No,N/A,N/A,NA / ROKPWQ,,,,
User13,12/02/2020 at 7:06:32 am EST,Imposter,Win,2,00m 57s,No,N/A,N/A,NA / EFFLQQ,,,,
User13,12/02/2020 at 5:36:32 am EST,Imposter,Win,1,01m 49s,No,N/A,N/A,NA / RTBMCF,,,,
User13,12/02/2020 at 5:33:33 am EST,Imposter,Win,1,01m 01s,No,N/A,N/A,NA / PBSGVF,,,,
User14,12/17/2020 at 10:40:43 pm EST,Imposter,Loss,3,22m 35s,No,N/A,-,NA / SXJLBF,,,,
User14,12/17/2020 at 7:28:42 pm EST,Imposter,Win,3,12m 30s,No,N/A,+++,NA / SXJLBF,,,,
User14,12/17/2020 at 4:55:26 pm EST,Imposter,Loss,2,16m 49s,No,N/A,-,NA / EGAACF,,,,
User14,12/17/2020 at 4:36:23 pm EST,Imposter,Win,4,14m 55s,No,N/A,+++,NA / EGAACF,,,,
User14,12/16/2020 at 2:22:07 pm EST,Imposter,Win,3,09m 10s,No,N/A,+++,Europe / LZHLMF,,,,
User14,12/15/2020 at 5:44:03 pm EST,Imposter,Loss,3,13m 24s,No,N/A,-,NA / AWYBXQ,,,,
User14,12/14/2020 at 10:54:07 pm EST,Imposter,Win,2,10m 27s,No,N/A,+++,Europe / ONSXGF,,,,
User14,12/14/2020 at 10:22:49 pm EST,Imposter,Win,2,13m 53s,No,N/A,+++,Europe / ONSXGF,,,,
User14,12/14/2020 at 9:12:04 pm EST,Imposter,Win,4,15m 43s,No,N/A,+++,Europe / ONSXGF,,,,
User14,12/14/2020 at 3:10:10 am EST,Imposter,Win,4,08m 53s,No,N/A,+++,NA / BEXBOF,,,,
User14,12/14/2020 at 12:24:07 am EST,Imposter,Win,4,10m 12s,No,N/A,+++,NA / LKKLPQ,,,,
User14,12/13/2020 at 9:03:21 pm EST,Imposter,Win,3,19m 45s,No,N/A,+++,Europe / AHNVOF,,,,
User14,12/13/2020 at 8:42:41 pm EST,Imposter,Loss,1,05m 45s,No,N/A,--,Europe / AHNVOF,,,,
User14,12/13/2020 at 7:57:34 pm EST,Imposter,Win,2,03m 21s,No,N/A,N/A,Europe / AHNVOF,,,,
User14,12/13/2020 at 6:58:39 pm EST,Imposter,Win,1,04m 30s,No,N/A,N/A,NA / BRHQGF,,,,
User14,12/13/2020 at 3:03:34 pm EST,Imposter,Win,2,05m 07s,No,N/A,+++,NA / FDMAOF,,,,
User14,12/11/2020 at 12:08:58 am EST,Imposter,Win,2,08m 49s,No,N/A,+++,NA / EYNONF,,,,
User14,12/10/2020 at 11:31:45 pm EST,Imposter,Win,3,09m 25s,No,N/A,+++,NA / EYNONF,,,,
User14,12/10/2020 at 11:03:53 pm EST,Imposter,Win,3,18m 12s,No,N/A,+++,NA / EYNONF,,,,
User14,12/10/2020 at 10:07:58 pm EST,Imposter,Win,3,17m 02s,No,N/A,+++,NA / EYNONF,,,,
User14,12/10/2020 at 9:45:34 pm EST,Imposter,Win,2,08m 57s,No,N/A,+++,NA / EYNONF,,,,
User14,12/10/2020 at 9:03:58 pm EST,Imposter,Loss,2,07m 53s,No,N/A,-,NA / EYNONF,,,,
User14,12/10/2020 at 8:53:42 pm EST,Imposter,Loss,1,10m 36s,No,N/A,--,NA / EYNONF,,,,
User14,12/10/2020 at 12:34:33 am EST,Imposter,Win,1,03m 07s,Yes,N/A,N/A,Europe / KTQRWQ,,,,
User14,12/09/2020 at 10:28:23 pm EST,Imposter,Loss,2,13m 13s,No,N/A,-,Europe / BNDUNF,,,,
User14,12/09/2020 at 12:03:34 am EST,Imposter,Loss,2,12m 04s,No,N/A,-,Europe / VTTXQQ,,,,
User14,12/08/2020 at 11:48:43 pm EST,Imposter,Loss,2,15m 29s,No,N/A,-,Europe / VTTXQQ,,,,
User14,12/08/2020 at 11:14:31 pm EST,Imposter,Win,2,12m 03s,No,N/A,+++,Europe / VTTXQQ,,,,
User14,12/08/2020 at 10:41:20 pm EST,Imposter,Win,4,13m 01s,No,N/A,+++,Europe / VTTXQQ,,,,
User15,12/17/2020 at 9:41:51 pm EST,Imposter,Loss,0,21m 33s,No,N/A,--,NA / SXJLBF,,,,
User15,12/02/2020 at 4:19:23 pm EST,Imposter,Win,2,15m 18s,No,N/A,+++,Europe / TQQYQQ,,,,
User15,12/02/2020 at 12:54:57 am EST,Imposter,Loss,1,11m 45s,No,N/A,--,NA / KFTWCF,,,,
User15,12/01/2020 at 6:24:10 pm EST,Imposter,Loss,3,11m 25s,Yes,N/A,-,Europe / SADXGF,,,,
User15,12/01/2020 at 5:31:16 pm EST,Imposter,Win,3,09m 16s,No,N/A,+++,Europe / SADXGF,,,,
User15,11/28/2020 at 7:15:31 pm EST,Imposter,Win,3,05m 53s,No,N/A,+++,NA / XYBZDF,,,,
User16,12/22/2020 at 1:28:19 am EST,Imposter,Win,1,06m 38s,No,N/A,+++,NA / NHORMF,,,,
User16,12/21/2020 at 2:32:38 am EST,Imposter,Win,2,09m 04s,No,N/A,+++,NA / FVNGZF,,,,
User16,12/19/2020 at 6:29:45 am EST,Imposter,Win,1,07m 49s,No,N/A,+++,NA / ASJXIF,,,,
User16,12/19/2020 at 6:21:04 am EST,Imposter,Win,3,10m 30s,No,N/A,+++,NA / ASJXIF,,,,
User16,12/19/2020 at 6:09:49 am EST,Imposter,Win,2,15m 43s,No,N/A,+++,NA / ASJXIF,,,,
User16,12/19/2020 at 5:09:58 am EST,Imposter,Win,4,15m 55s,No,N/A,+++,NA / ASJXIF,,,,
User16,12/19/2020 at 3:59:34 am EST,Imposter,Win,3,09m 01s,No,N/A,+++,NA / ASJXIF,,,,
User16,12/19/2020 at 2:39:45 am EST,Imposter,Win,3,12m 05s,No,N/A,+++,NA / JYJKBF,,,,
User16,12/18/2020 at 4:02:30 am EST,Imposter,Win,1,08m 08s,No,N/A,+++,NA / OVGUMF,,,,
User16,12/18/2020 at 3:52:08 am EST,Imposter,Win,4,16m 45s,No,N/A,+++,NA / OVGUMF,,,,
User16,12/04/2020 at 11:15:30 pm EST,Imposter,Win,2,13m 03s,No,N/A,+++,NA / JPSWVF,,,,
User16,12/03/2020 at 1:52:53 am EST,Imposter,Win,3,09m 05s,No,N/A,+++,NA / GHOUHF,,,,
User16,12/03/2020 at 1:40:58 am EST,Imposter,Loss,3,11m 11s,No,N/A,-,NA / GHOUHF,,,,
User16,12/02/2020 at 1:04:23 am EST,Imposter,Win,2,04m 13s,No,N/A,N/A,NA / DYSIVF,,,,
